  0.38947002E-102 -0.14304133E+004  0.28858376E+003 -0.48703875E+003
  0.38947002E-102 -0.14318296E+004  0.27926417E+003 -0.48888031E+003
  0.38947002E-102 -0.14342331E+004  0.28666568E+003 -0.48999298E+003
  0.38947002E-102 -0.14357389E+004  0.28491911E+003 -0.48986847E+003
  0.38947002E-102 -0.14371086E+004  0.28204792E+003 -0.48871038E+003
  0.38947002E-102 -0.14364455E+004  0.28170050E+003 -0.48745525E+003
  0.38947002E-102 -0.14342694E+004  0.28001551E+003 -0.48827545E+003
  0.38947002E-102 -0.14363460E+004  0.28198298E+003 -0.48632557E+003
  0.38947002E-102 -0.14368830E+004  0.28277438E+003 -0.48753505E+003
  0.38947002E-102 -0.14360133E+004  0.28584077E+003 -0.48878609E+003
