  0.45927586E-104 -0.14282450E+004  0.46086839E+003 -0.30038375E+003
  0.45927586E-104 -0.14283106E+004  0.46609252E+003 -0.30109014E+003
  0.45927586E-104 -0.14270267E+004  0.46819177E+003 -0.30473778E+003
  0.45927586E-104 -0.14235255E+004  0.46839996E+003 -0.30477973E+003
  0.45927586E-104 -0.14282485E+004  0.46871713E+003 -0.30400154E+003
  0.45927586E-104 -0.14242714E+004  0.45993343E+003 -0.30008335E+003
  0.45927586E-104 -0.14250109E+004  0.46884111E+003 -0.30425926E+003
  0.45927586E-104 -0.14265081E+004  0.46016657E+003 -0.30103974E+003
  0.45927586E-104 -0.14264772E+004  0.46293316E+003 -0.30012608E+003
